Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,WindowType,WindowColor,PaneType,CurtainType,CurtainColor,Ceiling Type,Color1,Color2,HHAConcept1,HHAConcept2,HHASeries,Tag,Version,Filename,InternalID,UniqueEntryID
abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,No,NA,No,1560,390,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,White,Colorful,shop,facility,None,Cloth Walls,1.0.0,RoomTexWallAbstract00,4873,FpdbDr4PMe5WdEZkA
ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Beige,Brown,folk art,horror,None,Asia,1.0.0,RoomTexWallEgypt00,4936,Y2pykQMhqbEoGGa62
apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,No,NA,Yes,0,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Red,Red,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallApple00,4916,roJZFWataeLQK6vqa
aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Light blue,Light blue,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile01,4930,6NXvjsdpxJLbd96RM
arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,Yes,NA,No,2150,537,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Light blue,shop,expensive,None,Special Walls,1.0.0,RoomSpWallGlass00,5482,TzS5oe6a7KyBezmLS
autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,Yes,Random,Yes,0,4700,Crafting,Fall seasonal DIY using autumn leaves (caught with net),Not for sale,None,NA,NA,None,NA,Wood,Brown,Orange,garden,None,tree's bounty or leaves ,Special Warm Nature Walls,1.0.0,RoomSpWallAutumun00,4905,KfLqJKhWtys8v86ig
backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Light blue,White,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallBackyard00,5481,oPYWjEfm7BqHTYipq
bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,No,NA,Yes,0,2400,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Green,Beige,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallBamboo00,4833,MYpD6DoNCPDw6d9t3
bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,No,NA,Yes,0,4300,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),Not for sale,None,NA,NA,None,NA,Wood,Green,Green,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallChikurin00,4853,LbsrED9Rwg6SHTCpa
bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,No,NA,No,1770,442,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Brown,zen-style,None,None,Wood Walls,1.0.0,RoomTexWallRattan00,4836,MZt39wkPG6P7iWG2M
bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Gray,Gray,facility,expensive,None,Iron Walls,1.0.0,RoomTexWallSafeBox00,4839,HrgjLfo8tPzP2zpbE
basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,Yes,NA,No,600,150,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,White,White,office,facility,None,Special Walls,1.0.0,RoomSpWallSimplePanel00,5559,FJxKPu5W2sd2YWQfA
beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,White,Orange,shop,kitchen,None,Cloth Walls,1.0.0,RoomTexWallBeadsCurtain00,4877,M3mNZS2vSaHaiujcH
beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Wood,Beige,Beige,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco00,4817,2zmJaMB2B9i8gLTKt
beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,Beige,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry00,4831,CF5325jZx7pNsqb6Z
beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Beige,Beige,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco00,4834,qZrgjoMjxz9ehXqa4
black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,Black,Black,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile03,6877,PEcX9J774Ffd6Gn8S
black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Black,Black,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall03,6862,pQrYRHsmovBApejNJ
black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Black,Black,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard02,4922,7fMiJATy4fWP4DpoC
black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Black,Black,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile06,6859,aF8tqscwpShhhsASx
black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Black,Black,facility,shop,None,Brick,1.0.0,RoomTexWallBrick02,4929,tCex7y47sAsaD44Wm
black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Black,Black,expensive,None,None,Crown Walls,1.0.0,RoomTexWallCrown01,4815,4cCAvP8bbCYcyAyBE
blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Colorful,shop,school,None,Neta Walls,1.0.0,RoomTexWallBlackBoard00,4882,Aseoowo4cuXJqyWaA
blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,Blue Checkered,Wood,Light blue,Blue,fancy,living room,None,Country,1.0.0,RoomTexWallCountry02,4896,SZWxorHWvT7vhGXsj
blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Blue,Blue,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage01,4884,xQ2EDvGyh76skJyX3
blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Blue,Black,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor03,6852,7Fb4nvMvoxtCZRQv7
blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Blue,White,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco01,4835,vgNuogZ2JG2eZEBni
blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Blue,Light blue,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner00,7241,GjJT3k3neqwzenXku
blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Light blue,Wood,Blue,Light blue,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower03,6873,Hfm5a2EozWyQws3Tv
