Name,Image,VFX,VFXType,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Catalog,WindowType,WindowColor,PaneType,CurtainType,CurtainColor,CeilingType,HHAConcept1,HHAConcept2,HHASeries,Tag
abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,No,NA,No,1560,390,white,colorful,Nook's Cranny,,fs,four pane,grey wood,glass,roller shades,white,cloth,shop,facility,None,cloth walls
ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,No,NA,No,3000,750,beige,brown,Saharah,,nfs,none,na,na,none,na,stone,folk art,horror,None,asia
apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,No,NA,Yes,-1,4000,red,red,Crafting,,nfs,four pane,grey wood,glass,roller shades,white,cloth,fancy,child's room,fruits,fruit walls
aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,No,NA,No,1420,355,light blue,light blue,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,bathroom,facility,None,tile walls
arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,Yes,NA,No,2150,537,brown,light blue,Nook's Cranny,,fs,none,na,na,none,na,wood,shop,expensive,None,special walls
autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,Yes,Random,Yes,-1,4700,brown,orange,Crafting,Fall seasonal DIY using autumn leaves (caught with net),nfs,none,na,na,none,na,wood,garden,None,tree's bounty or leaves ,special warm nature walls
backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,Yes,Synchro,No,3000,750,light blue,white,Saharah,,nfs,none,na,na,none,na,plain,garden,None,None,special cool nature walls
bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,No,NA,Yes,-1,2400,green,beige,Crafting,,nfs,none,na,na,none,na,wood,zen-style,None,bamboo,nature walls
bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,No,NA,Yes,-1,4300,green,green,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),nfs,none,na,na,none,na,wood,zen-style,None,bamboo,nature walls
bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,No,NA,No,1770,442,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,stone,zen-style,None,None,wood walls
bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,No,NA,No,3000,750,gray,gray,Saharah,,nfs,none,na,na,none,na,tile,facility,expensive,None,iron walls
basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,Yes,NA,No,600,150,white,white,Nook's Cranny,,fs,none,na,na,none,na,tile,office,facility,None,special walls
beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,No,NA,No,1720,430,white,orange,Nook's Cranny,,fs,four pane,natural wood,glass,curtains,white lace,wood,shop,kitchen,None,cloth walls
beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,No,NA,No,2780,695,beige,beige,Nook's Cranny,,fs,arch,wood,glass,none,na,wood,child's room,living room,None,art deco walls
